,PIece_ID,Phrase_number,Phrase_start,Phrase_stop,Rhyme_ID,Phrase_text,piece_id,Column10,Column11,Column12
1,DC0101,1,1,7,a,Qui souhaitez avoir tout le plaisir,Qui souhaitez avoir tout le plaisir,,,
2,DC0101,2,7,13,b,Qu'un amy peult vouloir honnestement,Qui souhaitez avoir tout le plaisir,,,
3,DC0101,3,1,7,a,Prenez exemple à mon chaste desir,Qui souhaitez avoir tout le plaisir,,,
4,DC0101,4,7,14,b,Et vous mirez en mon contentement.,Qui souhaitez avoir tout le plaisir,,,
5,DC0101,5,14,17,b,Mais qui vouldroit audacieusement,Qui souhaitez avoir tout le plaisir,,,
6,DC0101,6,17,22,c,"Voler au ciel ou mon amour se tient,",Qui souhaitez avoir tout le plaisir,,,
7,DC0101,7,23,26,b,On luy diroit aymez humainement.,Qui souhaitez avoir tout le plaisir,,,
8,DC0101,8,26,34,c,C'est au soleil que la lune appartient.,Qui souhaitez avoir tout le plaisir,,,
9,DC0102,1,1,6,a,"Venons au poinct madame s'il vous plaist,","Venons au poinct, ma dame s'il vous plaist",,,
10,DC0102,2,5,10,b,Il en est temps sans plus tant marchander.,"Venons au poinct, ma dame s'il vous plaist",,,
11,DC0102,3,10,14,b,Le doy je prendre ou le vous demander?,"Venons au poinct, ma dame s'il vous plaist",,,
12,DC0102,4,14,18,a,"Dictes l'ouy, car le non me desplait.","Venons au poinct, ma dame s'il vous plaist",,,
13,DC0102,5,18,22,c,Or faictes donc s'il vous plaist mon bel amy,"Venons au poinct, ma dame s'il vous plaist",,,
14,DC0102,6,21,29,d,L'ouy valoir et le non se retire.,"Venons au poinct, ma dame s'il vous plaist",,,
15,DC0102,7,29,37,d,"Vous souffrez mal, et moy un grand martyre.","Venons au poinct, ma dame s'il vous plaist",,,
16,DC0102,8,38,43,c,C'est couardise qui nous sert d'ennemy.,"Venons au poinct, ma dame s'il vous plaist",,,
17,DC0103,1,1,4,a,"O combien je suis fortuné,",O combien je suis fortuné,,,
18,DC0103,2,4,8,b,De servir maistresse si belle.,O combien je suis fortuné,,,
19,DC0103,3,1,4,a,Pourquoy ne m'est predestiné,O combien je suis fortuné,,,
20,DC0103,4,4,8,b,Le bien que son mary a d'elle.,O combien je suis fortuné,,,
21,DC0103,5,9,12,b,Ell'est doulce et luy rebelle.,O combien je suis fortuné,,,
22,DC0103,6,12,14,c,"N'est ce pas grande cruauté,",O combien je suis fortuné,,,
23,DC0103,7,14,18,b,"Qu'elle vit en peine telle,",O combien je suis fortuné,,,
24,DC0103,8,18,27,c,Sans secourir ma loyauté?,O combien je suis fortuné,,,
25,DC0104,1,1,4,a,"Cherchant Amour, Hymen vint apparoistre","Cherchant amour, Hymen vint apparoistre",,,
26,DC0104,2,4,10,b,Devant mes yeulx avecques chasteté.,"Cherchant amour, Hymen vint apparoistre",,,
27,DC0104,3,1,4,a,"Disant amy, pour donner à cognoistre","Cherchant amour, Hymen vint apparoistre",,,
28,DC0104,4,4,10,b,De vraye amour la seure fermeté.,"Cherchant amour, Hymen vint apparoistre",,,
29,DC0104,5,11,15,b,En Cupido ne te tiens arresté.,"Cherchant amour, Hymen vint apparoistre",,,
30,DC0104,6,14,20,c,Une sans plus de loyauté munie,"Cherchant amour, Hymen vint apparoistre",,,
31,DC0104,7,21,25,b,Aymer tu doibs de chaste volunté.,"Cherchant amour, Hymen vint apparoistre",,,
32,DC0104,8,25,32,c,Pour à jamais mener heureuse vie.,"Cherchant amour, Hymen vint apparoistre",,,
33,DC0105,1,1,5,a,"Cest oeil mignon, ce visage poly,","Cest oeil mignon, ce visage poly",,,
34,DC0105,2,5,9,b,"Ce corps bien faict, ceste tant bonne grace.","Cest oeil mignon, ce visage poly",,,
35,DC0105,3,9,14,a,"Cest entretien, et devis tant joly,","Cest oeil mignon, ce visage poly",,,
36,DC0105,4,14,21,b,Las que font ilz en ceste terre basse?,"Cest oeil mignon, ce visage poly",,,
37,DC0105,5,22,29,b,Que c'est qu'ilz font? chascun d'entr'eulx pourchasse,"Cest oeil mignon, ce visage poly",,,
38,DC0105,6,28,34,c,Un serviteur pour servir à la belle.,"Cest oeil mignon, ce visage poly",,,
39,DC0105,7,34,38,c,Mais je sçay bien qu'elle leur est cruelle.,"Cest oeil mignon, ce visage poly",,,
40,DC0105,8,38,42,d,Et les chassant m'a dict qu'elle dira:,"Cest oeil mignon, ce visage poly",,,
41,DC0105,9,42,46,c,"Retirez vous, j'ay un amy fidele,","Cest oeil mignon, ce visage poly",,,
42,DC0105,10,47,56,d,Mieulx que vous tous luy seul me servira.,"Cest oeil mignon, ce visage poly",,,
43,DC0106,1,1,6,a,"L'enfant Amour n'a plus son arc estrange,",L'enfant Amour n'a plus son arc estrangé,,,
44,DC0106,2,6,12,b,Dont il blessoit d’hommes et coeurs et testes.,L'enfant Amour n'a plus son arc estrangé,,,
45,DC0106,3,1,6,a,"Avec celuy de Diane a faict change,",L'enfant Amour n'a plus son arc estrangé,,,
46,DC0106,4,6,12,b,Dont elle alloit aux champs faire les questes.,L'enfant Amour n'a plus son arc estrangé,,,
47,DC0106,5,13,18,b,"Ilz ont changé, n’en faictes plus d’enquestes.",L'enfant Amour n'a plus son arc estrangé,,,
48,DC0106,6,18,25,c,Et si on dict a quoy le cognois tu?,L'enfant Amour n'a plus son arc estrangé,,,
49,DC0106,7,26,31,b,"Je voy qu’Amour chasse souvent aux bestes,",L'enfant Amour n'a plus son arc estrangé,,,
50,DC0106,8,31,36,c,Et qu’elle attaint les hommes de vertu.,L'enfant Amour n'a plus son arc estrangé,,,
51,DC0107,1,1,7,a,La volunté si long temps endormie,La volunté si longtemps endormie,,,
52,DC0107,2,7,12,b,S'esveillera si j'ay ce que je pense,La volunté si longtemps endormie,,,
53,DC0107,3,1,7,a,"Je sens au coeur que mon desir s'advance,",La volunté si longtemps endormie,,,
54,DC0107,4,7,12,b,Et à peu pres fait contente ma vie,La volunté si longtemps endormie,,,
55,DC0107,5,13,17,a,"Et tout ainsi que la flamme amortie, ",La volunté si longtemps endormie,,,
56,DC0107,6,17,22,b,Ou feu couvert rend sa chaleur plus forte.,La volunté si longtemps endormie,,,
57,DC0107,7,22,28,,La descouvrant la mienne ensevelie,La volunté si longtemps endormie,,,
58,DC0107,8,28,34,,"Vive sera, pour n'estre jamais morte.",La volunté si longtemps endormie,,,
59,DC0108,1,1,6,a,"Vive sera pour jamais n'estre morte,",Vive sera pour jamais n'estre morte,,,
60,DC0108,2,6,11,b,Dans le secret d’un plus hault souvenir,Vive sera pour jamais n'estre morte,,,
61,DC0108,3,1,6,a,"Bruslant tousjours par plus subtile sorte,",Vive sera pour jamais n'estre morte,,,
62,DC0108,4,6,12,b,L’affection de mon bien advenir.,Vive sera pour jamais n'estre morte,,,
63,DC0108,5,12,14,b,Ce qu’advenant je pourray devenir,Vive sera pour jamais n'estre morte,,,
64,DC0108,6,14,19,c,Le seul content de moy et de m’amye.,Vive sera pour jamais n'estre morte,,,
65,DC0108,7,19,23,b,"En resveillant pour plustost parvenir,",Vive sera pour jamais n'estre morte,,,
66,DC0108,8,23,29,c,La volunté si long temps endormie.,Vive sera pour jamais n'estre morte,,,
67,DC0109,1,1,6,a,"Mars et Amour font ensemble alliance,",Mars et Amour font ensemble alliance,,,
68,DC0109,2,6,11,b,Et ont changé de puissances et armes.,Mars et Amour font ensemble alliance,,,
69,DC0109,3,12,17,a,"Mars a quitté sa tant cruelle lance,",Mars et Amour font ensemble alliance,,,
70,DC0109,4,17,22,b,Dont se servoit aux mortelles allarmes.,Mars et Amour font ensemble alliance,,,
71,DC0109,5,23,27,b,"Ilz sont tous deux de volunté si fermes,",Mars et Amour font ensemble alliance,,,
72,DC0109,6,26,32,c,Que l'un ne peult rien sans l'autre entreprendre.,Mars et Amour font ensemble alliance,,,
73,DC0109,7,32,38,c,"Quand l'arc d'Amour le fier Mars vient destendre,",Mars et Amour font ensemble alliance,,,
74,DC0109,8,38,46,d,Du premier coup il rend l'homme amoureux,Mars et Amour font ensemble alliance,,,
75,DC0109,9,46,51,c,"Et quand Amour vient pour la picque prendre,",Mars et Amour font ensemble alliance,,,
76,DC0109,10,51,57,d,Tout fait mourir en tourment langoureux.,Mars et Amour font ensemble alliance,,,
77,DC0110,1,1,4,a,"Si la promesse m'est tenue,",Si la promesse m'est tenue,,,
78,DC0110,2,4,7,b,"Et en femme gist loyauté,",Si la promesse m'est tenue,,,
79,DC0110,3,7,14,b,J'auray ma part en sa beaulté.,Si la promesse m'est tenue,,,
80,DC0110,4,13,20,a,Mon coeur l'a pour soy retenue.,Si la promesse m'est tenue,,,
81,DC0111,1,1,5,a,L'autre jour jouer m'alloye parmy ces champs.,L'autre jour jouer m'aloye/ Parmi ces champs ,,,
82,DC0111,2,5,8,b,En mon chemin rencontray un verd gallant.,L'autre jour jouer m'aloye/ Parmi ces champs ,,,
83,DC0111,3,8,10,c,"Il hurte à moy, et moy à luy.",L'autre jour jouer m'aloye/ Parmi ces champs ,,,
84,DC0111,4,10,15,d,"Il fut plus fort, il m'abatit maugré mes dentz.",L'autre jour jouer m'aloye/ Parmi ces champs ,,,
85,DC0111,5,14,22,e,Maudict soit ce (moais) mauvais garson qui bat les gens.,L'autre jour jouer m'aloye/ Parmi ces champs ,,,
86,DC0112,1,1,8,a,"Comme l'aymant par sa vertu latente,",Comme l'aymant par sa vertu latente,,,
87,DC0112,2,8,15,a,"Attrait le fer, vostre oeil attire et tente",Comme l'aymant par sa vertu latente,,,
88,DC0112,3,15,22,b,Mon coeur navré qui partout le veult suyvre.,Comme l'aymant par sa vertu latente,,,
89,DC0112,4,22,30,b,"Prenez le corps, car sans coeur ne peult vivre.",Comme l'aymant par sa vertu latente,,,
90,DC0112,5,28,43,a,"Tout est à vous, si vous estes contente.",Comme l'aymant par sa vertu latente,,,
91,DC0113,1,1,5,a,"Helas mon coeur n'as tu pas trop grand tort,","Helas mon cœur (mon œil), n'as tu pas trop grand tort",,,
92,DC0113,2,5,11,b,De m'avoir faict et causé tel oultrage?,"Helas mon cœur (mon œil), n'as tu pas trop grand tort",,,
93,DC0113,3,11,15,a,Veu que tu es la fenestre et l'aport,"Helas mon cœur (mon œil), n'as tu pas trop grand tort",,,
94,DC0113,4,15,20,b,Dont lon reçoit tout bien et avantage.,"Helas mon cœur (mon œil), n'as tu pas trop grand tort",,,
95,DC0113,5,20,25,b,"Mal cognoissois ce cuyde mon courage,","Helas mon cœur (mon œil), n'as tu pas trop grand tort",,,
96,DC0113,6,24,31,c,En me donnant le mal sans allegeance.,"Helas mon cœur (mon œil), n'as tu pas trop grand tort",,,
97,DC0113,7,30,37,b,"J'aymasse mieulx veu mon grief et dommage,","Helas mon cœur (mon œil), n'as tu pas trop grand tort",,,
98,DC0113,8,37,43,c,N'en avoir eu jamais la cognoissance.,"Helas mon cœur (mon œil), n'as tu pas trop grand tort",,,
99,DC0114,1,1,7,a,Trop justement je forme une complainte,Trop justement je forme une complainte,,,
100,DC0114,2,7,11,b,Contre l'effort de l'ingrate fortune.,Trop justement je forme une complainte,,,
101,DC0114,3,1,7,a,Que celle là que j'ayme n'est attainte,Trop justement je forme une complainte,,,
102,DC0114,4,7,11,b,Du mesme feu d'amour qui m'importune.,Trop justement je forme une complainte,,,
103,DC0114,5,12,18,b,O si j'avoye jouyssance opportune,Trop justement je forme une complainte,,,
104,DC0114,6,17,22,c,"Selon l'effect que merite la peine,",Trop justement je forme une complainte,,,
105,DC0114,7,23,28,c,Onques amant ne receut telle estreine.,Trop justement je forme une complainte,,,
106,DC0114,8,28,34,d,"Mais au rebours d'amoureuse faveur,",Trop justement je forme une complainte,,,
107,DC0114,9,34,39,c,Elle me paist ceste seconde Heleine,Trop justement je forme une complainte,,,
108,DC0114,10,39,45,d,De cruauté et de toute rigueur.,Trop justement je forme une complainte,,,
109,DC0115,1,1,6,a,Quelle prison au monde est plus cruelle,Quelle prison au monde est plus cruelle,,,
110,DC0115,2,6,10,c,Pour deux amans qu'une bien longue absence?,Quelle prison au monde est plus cruelle,,,
111,DC0115,3,1,6,a,Quelle douleur peult estre plus mortelle,Quelle prison au monde est plus cruelle,,,
112,DC0115,4,6,10,b,Que de n'avoir de son mal allegeance?,Quelle prison au monde est plus cruelle,,,
113,DC0115,5,11,18,b,O dieu amour monstrez vostre puissance,Quelle prison au monde est plus cruelle,,,
114,DC0115,6,17,21,c,Convertissez par honneste moyen,Quelle prison au monde est plus cruelle,,,
115,DC0115,7,22,27,b,Dueil et regret en seure jouyssance,Quelle prison au monde est plus cruelle,,,
116,DC0115,8,27,32,c,Pour faire à deux amans un pareil bien.,Quelle prison au monde est plus cruelle,,,
117,DC0116,1,1,4,a,"Maistre Ambrelin, confesseur de nonnettes,","Maistre Ambrelin, confesseur de nonettes",,,
118,DC0116,2,5,8,b,"Fin crocheteur de leurs pechez couvertz,","Maistre Ambrelin, confesseur de nonettes",,,
119,DC0116,3,8,12,a,"Confessa tant l'une des plus jeunettes,","Maistre Ambrelin, confesseur de nonettes",,,
120,DC0116,4,12,15,b,Qu'a son plaisir la feit mettre a l'envers.,"Maistre Ambrelin, confesseur de nonettes",,,
121,DC0116,5,16,19,b,"Leurs petis jeuz tant furent descouvertz,","Maistre Ambrelin, confesseur de nonettes",,,
122,DC0116,6,19,22,c,Qu'a leur abbesse on compta tout le faict.,"Maistre Ambrelin, confesseur de nonettes",,,
123,DC0116,7,22,26,c,Comment dit ell' meschant vilain infect,"Maistre Ambrelin, confesseur de nonettes",,,
124,DC0116,8,26,30,d,As tu osé luy faire un tel oultrage?,"Maistre Ambrelin, confesseur de nonettes",,,
125,DC0116,9,30,34,c,"Que pleust a dieu que tu le m'eusse faict,","Maistre Ambrelin, confesseur de nonettes",,,
126,DC0116,10,33,42,d,Et qu'ell' neut point perdu son pucelage.,"Maistre Ambrelin, confesseur de nonettes",,,
127,DC0117,1,1,6,a,Qu'est ce que fait celuy qui se marie?,Qu'est-ce que fait celui qui se marie,,,
128,DC0117,2,6,9,b,Pour estre serf de franchise il s'estrange.,Qu'est-ce que fait celui qui se marie,,,
129,DC0117,3,9,14,a,Que fait il plus? en mesnage se lie,Qu'est-ce que fait celui qui se marie,,,
130,DC0117,4,14,17,b,Ou sont des maulx à change et à rechange.,Qu'est-ce que fait celui qui se marie,,,
131,DC0117,5,18,21,c,Sa femme apres s'il luy dit rien se venge,Qu'est-ce que fait celui qui se marie,,,
132,DC0117,6,21,25,d,"A caqueter tic tac. Puis luy vient dire,",Qu'est-ce que fait celui qui se marie,,,
133,DC0117,7,25,29,d,"Me fault cecy cela. Mais c'est le pire,",Qu'est-ce que fait celui qui se marie,,,
134,DC0117,8,29,32,e,Que remuer luy fault droit son bagage.,Qu'est-ce que fait celui qui se marie,,,
135,DC0117,9,32,35,d,"Et s'il y fault, il tombe en ce martyre,",Qu'est-ce que fait celui qui se marie,,,
136,DC0117,10,35,45,e,D'estre jaloux subject au coquage.,Qu'est-ce que fait celui qui se marie,,,
137,DC0118,1,1,5,a,"Vrais amateurs du plaisir de Venus,",Vrais amateurs du plaisir de Vénus,,,
138,DC0118,2,5,11,b,"Qui pour neuf fois ne vous faictes que rire,",Vrais amateurs du plaisir de Vénus,,,
139,DC0118,3,1,5,a,"Puis qu'a ce poinct estes si bien venus,",Vrais amateurs du plaisir de Vénus,,,
140,DC0118,4,5,11,b,On doibt de vous tout bien et honneur dire.,Vrais amateurs du plaisir de Vénus,,,
141,DC0118,5,11,15,b,Les envieux toutefois à mesdire,Vrais amateurs du plaisir de Vénus,,,
142,DC0118,6,15,19,c,"Pas ne fauldront, car ilz n'ont le courage",Vrais amateurs du plaisir de Vénus,,,
143,DC0118,7,19,24,c,"D'en faire autant, à si gentil ouvrage.",Vrais amateurs du plaisir de Vénus,,,
144,DC0118,8,25,29,d,Besongnez donc et de jour et de nuict.,Vrais amateurs du plaisir de Vénus,,,
145,DC0118,9,29,34,c,"Vous les ferez tous vifz crever de rage,",Vrais amateurs du plaisir de Vénus,,,
146,DC0118,10,34,42,d,Si de neuf fois venez à dixhuict.,Vrais amateurs du plaisir de Vénus,,,
147,DC0119,1,1,5,a,J'ay d'un costé l'honneur tant estimé,J'ay d'un costé l'honneur tant estimé,,,
148,DC0119,2,5,12,b,"Devant les yeulx, lequel je vueil avoir.",J'ay d'un costé l'honneur tant estimé,,,
149,DC0119,3,1,5,a,J'ay d'autre part un amy tant aymé,J'ay d'un costé l'honneur tant estimé,,,
150,DC0119,4,5,13,b,"Dedans mon coeur, que je n'ay le povoir",J'ay d'un costé l'honneur tant estimé,,,
151,DC0119,5,13,16,b,"De l'en oster, et si ne les puis voir",J'ay d'un costé l'honneur tant estimé,,,
152,DC0119,6,16,20,c,"Tous deux en moy, dont fort je me tourmente.",J'ay d'un costé l'honneur tant estimé,,,
153,DC0119,7,21,26,c,Las je ne sçay duquel me rendre absente.,J'ay d'un costé l'honneur tant estimé,,,
154,DC0119,8,26,31,d,"Car l'un m'est doulx et si pres de mon coeur,",J'ay d'un costé l'honneur tant estimé,,,
155,DC0119,9,31,37,c,L'autre un chascun si tresfort il contente,J'ay d'un costé l'honneur tant estimé,,,
156,DC0119,10,36,45,d,Qu'encontre moy ce croy sera vainqueur.,J'ay d'un costé l'honneur tant estimé,,,
157,DC0120,1,1,6,a,"Si je me plains, ce n'est sans apparence.",Si je me plains ce n'est sans apparence,,,
158,DC0120,2,5,10,b,Ayant du mal trop plus que ne puis dire.,Si je me plains ce n'est sans apparence,,,
159,DC0120,3,1,6,a,"Si mon malheur mettoye en evidence,",Si je me plains ce n'est sans apparence,,,
160,DC0120,4,5,10,b,Beaucoup plus grand sentiroye mon martyre.,Si je me plains ce n'est sans apparence,,,
161,DC0120,5,11,16,b,Fort le nyer est ce que je desire.,Si je me plains ce n'est sans apparence,,,
162,DC0120,6,16,19,c,Ne voulant point le plus faire apparoir.,Si je me plains ce n'est sans apparence,,,
163,DC0120,7,19,24,b,Mais chascun jour mon mal si fort empire,Si je me plains ce n'est sans apparence,,,
164,DC0120,8,24,35,c,Que sans le dire mort le fera sçavoir,Si je me plains ce n'est sans apparence,,,
165,DC0121,1,1,5,a,"Mauldict soit il qui jamays aymera,",Mauldict soit-il qui jamays aymera,,,
166,DC0121,2,5,12,b,Tant je m'en suis mal trouvé jusqu'icy.,Mauldict soit-il qui jamays aymera,,,
167,DC0121,3,1,5,a,Ce fatal dieu dit que pis me fera.,Mauldict soit-il qui jamays aymera,,,
168,DC0121,4,5,13,b,J'ay bien conclu de tenir bon aussi.,Mauldict soit-il qui jamays aymera,,,
169,DC0121,5,13,16,b,Quelle pitié d'avoir usé ainsi,Mauldict soit-il qui jamays aymera,,,
170,DC0121,6,16,21,b,"Mes jours subjectz au vouloir d'un' amye,",Mauldict soit-il qui jamays aymera,,,
171,DC0121,7,21,25,b,Qu'amour faisoit ma plus grand ennemye.,Mauldict soit-il qui jamays aymera,,,
172,DC0121,8,25,29,c,En sa rigueur j'auray gaigné tel poinct,Mauldict soit-il qui jamays aymera,,,
173,DC0121,9,30,33,b,"De liberté, que si jour de ma vie",Mauldict soit-il qui jamays aymera,,,
174,DC0121,10,33,44,c,"Elle me veult, je ne la vouldray point.",Mauldict soit-il qui jamays aymera,,,
175,DC0122,1,1,5,a,Amour et mort par trop grand avantage,Amour et mort par trop grand avantage,,,
176,DC0122,2,6,9,b,Prendront de moy si cruelle vengeance,Amour et mort par trop grand avantage,,,
177,DC0122,3,1,5,b,"Qu'impossible est y faire resistence,",Amour et mort par trop grand avantage,,,
178,DC0122,4,6,10,a,"Si ne changez, madame, de courage.",Amour et mort par trop grand avantage,,,
179,DC0122,5,10,17,a,"Appaisant l'un, l'autre n'aura pour gage",Amour et mort par trop grand avantage,,,
180,DC0122,6,16,22,c,Que ce que doibt nature luy laisser.,Amour et mort par trop grand avantage,,,
181,DC0122,7,21,27,c,Vous leur povez commander de cesser,Amour et mort par trop grand avantage,,,
182,DC0122,8,26,34,d,"A l'un tousjours, à l'autre pour un temps",Amour et mort par trop grand avantage,,,
183,DC0122,9,34,39,d,Mais si voulez du bien que je pretens,Amour et mort par trop grand avantage,,,
184,DC0122,10,39,43,e,"M'ottroyer part digne de la poursuyte,",Amour et mort par trop grand avantage,,,
185,DC0122,11,44,47,d,L'amour fera noz deux espritz contens.,Amour et mort par trop grand avantage,,,
186,DC0122,12,47,59,e,Et par despit la mort prendra la fuyte.,Amour et mort par trop grand avantage,,,
187,DC0123,1,1,5,a,Puisque fortune mal apprinse,Puisque fortune mal apprinse,,,
188,DC0123,2,5,9,b,"A mis sur moy sa destinée,",Puisque fortune mal apprinse,,,
189,DC0123,3,1,5,c,"Jamais je n'iray à l'eglise,",Puisque fortune mal apprinse,,,
190,DC0123,4,5,9,a,Car j'ay esté deschevillée.,Puisque fortune mal apprinse,,,
191,DC0123,5,10,12,d,Allant le trot,Puisque fortune mal apprinse,,,
192,DC0123,6,11,14,e,Tournant le pas,Puisque fortune mal apprinse,,,
193,DC0123,7,14,15,d,Criant par trop,Puisque fortune mal apprinse,,,
194,DC0123,8,15,18,e,"Et sans compas,",Puisque fortune mal apprinse,,,
195,DC0123,9,18,35,d,Las messire Jehan vous serrez trop.,Puisque fortune mal apprinse,,,
196,DC0124,1,1,6,a/b,"Je sens l' affection qui à moy se vient rendre,",Je sens l'affection/ Qui à moy se vient rendre,,,
197,DC0124,2,1,6,a/b,D'une perfection pour me vouloir surprendre.,Je sens l'affection/ Qui à moy se vient rendre,,,
198,DC0124,3,6,10,c/d,"Dont l'honneste maintien d'une si bonne grace,",Je sens l'affection/ Qui à moy se vient rendre,,,
199,DC0124,4,11,16,c/d,En plus haut lieu qu'au mien pourroit bien trouver place.,Je sens l'affection/ Qui à moy se vient rendre,,,
200,DC0124,5,16,23,e/f,"Mais ceste cognoissance du bien de ma franchise,",Je sens l'affection/ Qui à moy se vient rendre,,,
201,DC0124,6,23,27,e/f,Me sert d'experience Pour n'estre jamais prinse.,Je sens l'affection/ Qui à moy se vient rendre,,,
202,DC0124,7,28,33,g/h,Aymant trop mieulx cest heur de garder liberté,Je sens l'affection/ Qui à moy se vient rendre,,,
203,DC0124,8,28,33,g/h,Que d'avoir serviteur qui ne tient loyauté.,Je sens l'affection/ Qui à moy se vient rendre,,,
204,DC0124,9,34,38,i/j,Car je n'ay nul desir du bien qu'il en advienne.,Je sens l'affection/ Qui à moy se vient rendre,,,
205,DC0124,10,38,43,i/j,Le plus de mon desir c'est d'estre toute mienne.,Je sens l'affection/ Qui à moy se vient rendre,,,
206,DC0125,1,1,6,a/b,"Si ton plus grand desir n'est sinon d'estre tienne,",Si ton plus grand plaisir n'est sinon d'estre tienne,,,
207,DC0125,2,7,13,a/b,Ce me sera plaisir que tu ne sois point mienne.,Si ton plus grand plaisir n'est sinon d'estre tienne,,,
208,DC0125,3,14,18,c/d,"Car de moy j'ayme mieulx d'amour quitter l'office,",Si ton plus grand plaisir n'est sinon d'estre tienne,,,
209,DC0125,4,19,25,c/d,Que me voir ennuyeux en offrant mon service.,Si ton plus grand plaisir n'est sinon d'estre tienne,,,
210,DC0125,5,26,31,e/f,"Joinct que ma liberté ne m'est moins aymable,",Si ton plus grand plaisir n'est sinon d'estre tienne,,,
211,DC0125,6,31,36,e/f,Que toute ta beaulté pourroit estre estimable.,Si ton plus grand plaisir n'est sinon d'estre tienne,,,
212,DC0125,7,36,41,g/h,"Mais si par trop d'oubly d'un' offre tant heureuse,",Si ton plus grand plaisir n'est sinon d'estre tienne,,,
213,DC0125,8,41,47,g/h,Tu avois estably d'un autre estre amoureuse,Si ton plus grand plaisir n'est sinon d'estre tienne,,,
214,DC0125,9,48,54,e/f,Lors ta legereté te rendra detestable.,Si ton plus grand plaisir n'est sinon d'estre tienne,,,
215,DC0125,10,55,61,e/f,Et moy ma fermeté envers tous honorable.,Si ton plus grand plaisir n'est sinon d'estre tienne,,,
216,DC0125,11,62,66,i/j,"Sans que l'affection qu'au premier t'estoit deue,",Si ton plus grand plaisir n'est sinon d'estre tienne,,,
217,DC0125,12,67,74,i/j,Autre qu'en fiction par moy te soit rendue.,Si ton plus grand plaisir n'est sinon d'estre tienne,,,
218,DC0201,1,1,4,a,"Je me veulx tant a son vouloir offrir,",Je me veulx tant a son vouloir offrir,,,
219,DC0201,2,4,12,b,Que je ne quiers remede à ma douleur ,Je me veulx tant a son vouloir offrir,,,
220,DC0201,3,12,17,a,"Sçachant qu'elle a plaisir me veoir souffrir,",Je me veulx tant a son vouloir offrir,,,
221,DC0201,4,17,30,b,Souffrir m'est doulx et mon mal j'estime heur.,Je me veulx tant a son vouloir offrir,,,
222,DC0202,1,1,4,c,"Vous me changez pour un aultre madame,","Vous me changez pour un aultre, madame",,,
223,DC0202,2,4,8,a,Qui ne vous peult servir que pour un temps.,"Vous me changez pour un aultre, madame",,,
224,DC0202,3,1,4,b,"Ne faisant cas des maulvais propos d'ame,","Vous me changez pour un aultre, madame",,,
225,DC0202,4,4,8,c,Ne des languartz de vous trop cacquetants.,"Vous me changez pour un aultre, madame",,,
226,DC0202,5,9,12,c,Vous scavez bien (las) depuis quant j'estends:,"Vous me changez pour un aultre, madame",,,
227,DC0202,6,11,18,d,Tous mes espritz à vous faire service ,"Vous me changez pour un aultre, madame",,,
228,DC0202,7,19,22,c,Et si suis seur (tant bien mon faict j'entends),"Vous me changez pour un aultre, madame",,,
229,DC0202,8,22,28,d,Que vous n'avez veu en vostre serf vice.,"Vous me changez pour un aultre, madame",,,
230,DC0203,1,1,5,a,"Un gros prieur son petit filz baisoit,",Un gros prieur son petit filz baisoit,,,
231,DC0203,2,5,8,b,Et mignardoit au matin en sa couche.,Un gros prieur son petit filz baisoit,,,
232,DC0203,3,8,12,a,"Tandis roustir sa perdrix on faisoit,",Un gros prieur son petit filz baisoit,,,
233,DC0203,4,12,15,b,"Se leve, crache, esmeutit, et se mouche.",Un gros prieur son petit filz baisoit,,,
234,DC0203,5,15,16,b,"La perdrix vint au sel de brocque en bouche,",Un gros prieur son petit filz baisoit,,,
235,DC0203,6,16,20,c,"La devora bien sçavoit la sçience,",Un gros prieur son petit filz baisoit,,,
236,DC0203,7,20,23,c,"Puis quant il eut prins sur sa conscience,",Un gros prieur son petit filz baisoit,,,
237,DC0203,8,23,24,d,Broc de vin blanc du meilleur qu'on eslise.,Un gros prieur son petit filz baisoit,,,
238,DC0203,9,24,27,c,"Mon Dieu dit il donne moy patience,",Un gros prieur son petit filz baisoit,,,
239,DC0203,10,27,33,d,Qu'on a de mal pour servir Saincte Eglise.,Un gros prieur son petit filz baisoit,,,
240,DC0204,1,1,8,a,"Si la beaulté doit perir en peu d'heure,",Si la beaulté doit perir en peu d'heure,,,
241,DC0204,2,8,16,b,Faictes m'en donc durant que vous l'avez,Si la beaulté doit perir en peu d'heure,,,
242,DC0204,3,17,22,a,Ou si elle dure helas vous ne debvez,Si la beaulté doit perir en peu d'heure,,,
243,DC0204,4,22,32,b,Craindre a donner un bien qui nous demeure.,Si la beaulté doit perir en peu d'heure,,,
244,DC0205,1,1,6,a,"Un fin mary voyant sa chambriere,",Un fin mary voyant sa chambriere,,,
245,DC0205,2,5,9,b,"Belle de corps, et propre à soustenir.",Un fin mary voyant sa chambriere,,,
246,DC0205,3,9,15,a,Quelque grand faiz en la chambre derriere.,Un fin mary voyant sa chambriere,,,
247,DC0205,4,15,21,b,Monta dessus puis soudain veit venir,Un fin mary voyant sa chambriere,,,
248,DC0205,5,21,27,c,"Sa femme oyant le bruit qui dit hola,",Un fin mary voyant sa chambriere,,,
249,DC0205,6,26,33,c,Qui vous à mis tous deux en ce poinct la?,Un fin mary voyant sa chambriere,,,
250,DC0205,7,32,39,d,"Estce l'amour qu'avez en moy enclose,",Un fin mary voyant sa chambriere,,,
